,stm_bus_stop_id,stm_bus_stop_name,stm_bus_stop_code,stm_bus_stop_location_type,stm_bus_stop_latitude,stm_bus_stop_longitude,stm_bus_stop_is_wheelchair_accessible,stm_bus_stop_is_active
1021,50565,Legendre / Saint-Laurent (coin Sud-Ouest),50565,Stop,45.543387,-73.647939,True,True
1022,50566,Legendre / Saint-Laurent (coin Sud-Est),50566,Stop,45.543847,-73.647669,True,True
1023,50567,Fleury / André-Jobin,50567,Stop,45.576304,-73.64692,True,True
1024,50568,Fleury / André-Jobin,50568,Stop,45.576066,-73.64696,True,True
1025,50569,Walkley / Côte-Saint-Luc,50569,Stop,45.469962,-73.649489,True,True
1026,50570,Côte-Saint-Luc / Walkley,50570,Stop,45.470154,-73.649721,True,True
1027,50571,Sauvé / Charton,50571,Stop,45.567179,-73.646728,True,True
1028,50572,Sauvé / Charton,50572,Stop,45.566931,-73.646767,True,True
1029,50573,de l'Acadie / Crémazie,50573,Stop,45.530367,-73.646836,True,True
1030,50576,West Broadway / Fielding,50576,Stop,45.459892,-73.64873,True,True
1031,50577,Fielding / O'Bryan,50577,Stop,45.460473,-73.649039,True,True
1032,50578,West Broadway / Fielding,50578,Stop,45.460041,-73.649495,True,True
1033,50580,Victoria / Jean-Talon,50580,Stop,45.498938,-73.647641,True,True
1034,50581,Jean-Talon / Victoria,50581,Stop,45.49918,-73.647978,True,True
1035,50582,Victoria / Jean-Talon,50582,Stop,45.49901,-73.648317,True,True
1036,50583,Jean-Talon / Victoria,50583,Stop,45.498641,-73.648075,True,True
1037,50584,Macdonald / Plamondon,50584,Stop,45.487679,-73.648369,True,True
1038,50585,Saint-Hubert / Chabanel,50585,Stop,45.552367,-73.646206,True,True
1039,50586,Saint-Hubert / Chabanel,50586,Stop,45.552306,-73.646619,True,True
1040,50587,Jean-Talon / No 4855,50587,Stop,45.498549,-73.648491,True,True
1041,50588,Champagneur / Crémazie,50588,Stop,45.533113,-73.64624,True,True
1042,50589,Legendre / Henri-Julien,50589,Stop,45.546378,-73.646371,False,True
1043,50590,Legendre / Henri-Julien,50590,Stop,45.54607,-73.646386,True,True
1044,50591,Décarie / Vézina,50591,Stop,45.492084,-73.647445,True,True
1045,50592,Fleury / Larose,50592,Stop,45.578375,-73.645183,True,True
1046,50593,Fleury / Larose,50593,Stop,45.578066,-73.64528,True,True
1047,50594,Sauvé / De Lorimier,50594,Stop,45.568828,-73.645333,True,True
1048,50595,Sauvé / De Lorimier,50595,Stop,45.568582,-73.645375,True,True
1049,50596,Fielding / Doherty,50596,Stop,45.461284,-73.648401,True,True
1050,50597,Fielding / Doherty,50597,Stop,45.460928,-73.648144,True,True
1051,50598,Clanranald / Plamondon,50598,Stop,45.488336,-73.647428,True,True
1052,50599,Décarie / Vézina,50599,Stop,45.491627,-73.64774,True,True
1053,50600,Legendre / Berri,50600,Stop,45.547982,-73.64544,True,True
1054,50602,Legendre / Berri,50602,Stop,45.547654,-73.645477,True,True
1055,50603,Cavendish / Côte-Saint-Luc,50603,Stop,45.471568,-73.647508,True,True
1056,50604,Côte-Saint-Luc / Cavendish,50604,Stop,45.471882,-73.647726,True,True
1057,50605,Cavendish / Côte-Saint-Luc,50605,Stop,45.471766,-73.648305,True,True
1058,50606,Côte-Saint-Luc / Cavendish,50606,Stop,45.47137,-73.648038,True,True
1059,50607,McLynn / Plamondon,50607,Stop,45.489166,-73.647316,True,True
1060,50608,Jean-Talon / de la Savane,50608,Stop,45.500658,-73.64655,True,True
1061,50609,Jean-Talon / de la Savane,50609,Stop,45.499982,-73.646904,True,True
1062,50610,Papineau / Charland,50610,Stop,45.564493,-73.644387,True,True
1063,50611,Charland / Charton,50611,Stop,45.565664,-73.644038,True,True
1064,50613,Fielding / Saint-Ignatius,50613,Stop,45.462345,-73.647571,True,True
1065,50614,Fielding / Saint-Ignatius,50614,Stop,45.461984,-73.647317,True,True
1066,50616,Sauvé / Parthenais,50616,Stop,45.57024,-73.644151,True,True
1067,50617,Sauvé / Parthenais,50617,Stop,45.569828,-73.644319,True,True
1068,50618,Chester / Walkley,50618,Stop,45.469072,-73.646892,True,True
1069,50619,Saint-Laurent / De Beauharnois,50619,Stop,45.542712,-73.64464,True,True
1070,50620,Saint-Laurent / De Beauharnois,50620,Stop,45.542606,-73.645029,True,True
1071,50621,Crémazie / Tolhurst,50621,Stop,45.53755,-73.644619,True,True
1072,50622,Fielding / Coronation,50622,Stop,45.463476,-73.646597,True,True
1073,50623,Fielding / Coronation,50623,Stop,45.463133,-73.646421,True,True
1074,50624,Jeanne-Mance / Crémazie,50624,Stop,45.536617,-73.644198,True,True
1075,50625,Sauvé / Rancourt,50625,Stop,45.571313,-73.643221,True,True
1076,50626,Côte-Saint-Luc / Randall,50626,Stop,45.473036,-73.646255,True,True
1077,50627,Côte-Saint-Luc / Randall,50627,Stop,45.472687,-73.646355,True,True
1078,50628,Décarie / Plamondon,50628,Stop,45.491041,-73.645077,True,True
