,stm_metro_stop_id,stm_metro_stop_name,stm_metro_stop_code,stm_metro_stop_location_type,stm_metro_stop_latitude,stm_metro_stop_longitude,stm_metro_stop_is_wheelchair_accessible
129,13-02,Station Place-d'Armes - Édicule Viger,10256,Station entrance,45.505936,-73.560984,False
130,STATION_M258,STATION CHAMPS DE MARS,10258,Station,45.510047,-73.556596,True
131,12-01,Station Champ-de-Mars,10258,Station entrance,45.510192,-73.556331,True
132,STATION_M262,STATION SHERBROOKE,10262,Station,45.51906,-73.569217,False
133,10-01,Station Sherbrooke - Édicule Berri Est,10262,Station entrance,45.518901,-73.568524,False
134,10-02,Station Sherbrooke - Édicule Berri Ouest,10262,Station entrance,45.518334,-73.568208,False
135,STATION_M264,STATION MONT-ROYAL,10264,Station,45.524931,-73.581959,True
136,09-01,Station Mont-Royal,10264,Station entrance,45.524556,-73.581766,True
137,STATION_M266,STATION LAURIER,10266,Station,45.527399,-73.586907,False
138,08-01,Station Laurier - Édicule St-Joseph/Gilford (A),10266,Station entrance,45.527042,-73.586242,False
139,08-02,Station Laurier - Édicule avenue Laurier (B),10266,Station entrance,45.5278,-73.588928,False
140,STATION_M268,STATION ROSEMONT,10268,Station,45.531733,-73.59778,True
141,07-01,Station Rosemont,10268,Station entrance,45.531284,-73.59783,True
142,07-02,Station Rosemont - Terminus Rosemont,10268,Station entrance,45.53106,-73.597256,True
143,STATION_M270,STATION BEAUBIEN,10270,Station,45.535354,-73.604688,False
144,06-01,Station Beaubien,10270,Station entrance,45.535584,-73.604507,False
145,STATION_M272,STATION JEAN-TALON,10272,Station,45.539056,-73.613902,True
146,05-01,Station Jean-Talon - Édicule Sud (C),10272,Station entrance,45.5387,-73.61391,True
147,05-02,Station Jean-Talon - Plaza St-Hubert (D),10272,Station entrance,45.540261,-73.613168,False
148,05-03,Station Jean-Talon - Tour Jean-Talon (A),10272,Station entrance,45.539382,-73.613439,False
149,05-04,Station Jean-Talon - Édicule Nord (B),10272,Station entrance,45.538678,-73.614316,False
150,STATION_M274,STATION JARRY,10274,Station,45.543191,-73.628765,False
